hour,avg_utilization
0,0.34700778575474195
23,0.3448283131706689
1,0.3432745946198015
5,0.34096777319241295
2,0.34056404824010483
3,0.3387899574892671
4,0.33873838049751154
22,0.31843248958791537
6,0.31607002769599807
21,0.30601188073655816
20,0.2976538948393491
19,0.2912576664955642
7,0.2821033920086079
18,0.27045207005100014
8,0.26433032551205954
12,0.2621219440113229
11,0.25539685126126394
9,0.25255831701069237
17,0.2454029060247833
13,0.24412377243116004
10,0.24335415604738553
14,0.2415256348814516
16,0.23975221324868032
15,0.2392840365170038
