hour,avg_idle_time_hours
0,1.6351802291847983
1,1.2617299417868895
2,2.1767489856429463
3,4.361214975845411
4,3.64307945041816
5,3.0032012578616354
6,3.3847262479871176
7,4.858532608695652
8,2.1431218905472638
9,2.5757371794871795
10,6.957048611111112
11,3.1831690997566913
12,1.6486038011695907
13,3.278885381593715
14,3.4069038500816995
15,3.490431414495008
16,3.1608755860865774
17,2.7744389817546162
18,2.1310245018847604
19,2.058409880050505
20,1.8938524717185805
21,1.6594045368620038
22,1.5061980765295684
23,1.302623938290865
