hour,avg_tariff_change_pct,customer_response_rate_pct,sessions
0,34.39947780678851,-10.007674991427507,766
1,33.65603644646925,-9.791389164327203,878
2,32.23314606741573,-9.377434494957582,712
3,33.42013888888889,-9.722760619998837,576
4,42.5531914893617,-12.379795782524061,376
5,45.11278195488722,-13.124445152901465,266
6,44.565217391304344,-12.965144822241237,138
7,27.608695652173914,-8.336603984408198,92
8,17.313432835820898,-5.530143007401655,67
9,8.846153846153847,-3.209075786026705,26
10,-3.3333333333333335,2.119144896198022,24
11,7.883211678832118,-2.859753985135838,137
12,8.289473684210524,-3.007131657615425,76
13,1.8308080808080809,-0.16093553539632266,396
14,-4.466911764705883,2.6039646888352364,1088
15,-12.40085536547434,6.102292313724744,2572
16,-11.248773307163887,5.584856167542984,2038
17,-2.630285152409046,1.8157888028526692,1017
18,13.408723747980615,-4.4289994468918685,619
19,36.17021276595745,-10.62982199296697,705
20,38.172942817294285,-11.192640796193709,717
21,44.423440453686204,-12.923898338183214,529
22,42.173112338858196,-12.269221179309998,543
23,36.349453978159126,-10.574972200812894,641
